id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
508395,HKHSCEI,国企指数,1,10.2484,1.0034,0.8112,0.6208,0.0979,0.0288,1778774400000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1778895120528,1778895120528,False,5,0.3792,0.1888,05-15,1.7802
508406,SH000016,上证50,1,11.3274,1.1955,0.7536,0.3224,0.1055,0.0359,1779033600000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320382,1779100320382,False,5,0.6776,0.2464,05-18,1.5636
508436,SH000010,上证180,1,12.1019,1.2081,0.8032,0.3696,0.0998,0.0313,1779033600000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323118,1779100323118,False,5,0.6304,0.1968,05-18,1.2517
508394,HKHSI,恒生指数,1,12.3053,1.2328,0.8072,0.8232,0.1002,0.0315,1778774400000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1778895120454,1778895120454,False,5,0.1768,0.1928,05-15,1.691
508407,SH000300,沪深300,1,14.5538,1.4493,0.91,0.4744,0.0996,0.0268,1779033600000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320485,1779100320485,False,5,0.5256,0.09,05-18,0.9778
508450,CSI716567,MSCI中国,1,15.1795,1.4989,0.874,0.6063,0.0987,0.0253,1779033600000,high,2,,0.05,1508688000000,1779100324309,1779100324309,False,5,0.3937,0.126,05-18,0.883
508405,SPCQVCP,标普质量,2,15.6419,2.777,0.4124,0.3848,0.1775,0.0208,1779033600000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320269,1779100320269,False,5,0.6152,0.5876,05-18,1.8252
508428,SZ399324,深证红利,2,16.1039,2.2581,0.6136,0.5668,0.1402,0.0425,1779033600000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322317,1779100322317,False,5,0.4332,0.3864,05-18,0.7292
508427,SH000903,中证100,1,18.2701,1.8452,0.9956,0.9484,0.101,0.0274,1779033600000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322223,1779100322223,False,5,0.0516,0.0044,05-18,0.9192
508441,CSI931142,东证竞争,2,20.1586,2.9758,0.9488,0.904,0.1476,0.0232,1779033600000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323557,1779100323557,False,5,0.096,0.0512,05-18,0.6733
508429,CSI930782,500低波,2,21.431,1.7354,0.6072,0.7307,0.081,0.0226,1779033600000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1779100322397,1779100322397,False,5,0.2693,0.3928,05-18,0.8402
508398,SPHCMSHP,香港中小,1,21.7795,1.4766,0.9875,0.7327,0.0678,0.0224,1778774400000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1778895121011,1778895121011,False,5,0.2673,0.0125,05-15,
508417,SZ399998,中证煤炭,3,21.916,1.7507,0.8768,0.9584,0.0799,0.047,1779033600000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1450627200000,1779100321386,1779100321386,True,5,0.0416,0.1232,05-18,0.9033
508400,HKHSSCNE,新经济,2,22.9269,2.8312,0.3878,0.4727,0.1235,0.0156,1778774400000,high,2,,0.05,1542729600000,1778895121394,1778895121394,False,5,0.5273,0.6122,05-15,
508431,SZ399317,国证A指,1,23.5178,1.8958,0.9964,0.6704,0.0806,0.0177,1779033600000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322576,1779100322576,False,5,0.3296,0.0036,05-18,0.9867
508435,SZ399702,基本面120,2,26.2731,2.1512,0.9808,0.4228,0.0819,0.0232,1779033600000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323041,1779100323041,False,5,0.5772,0.0192,05-18,0.4666
508434,SZ399701,基本面60,2,26.9616,2.0386,0.9868,0.262,0.0756,0.0258,1779033600000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322914,1779100322914,False,5,0.738,0.0132,05-18,0.4593
508401,SP500,标普500,1,29.1455,5.7427,0.8616,0.9984,0.197,0.0103,1778774400000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1453737600000,1779067920258,1779067920258,False,5,0.0016,0.1384,05-15,1.9165
508439,SZ399417,新能源车,3,30.7009,4.0281,0.4712,0.6548,0.1312,0.0124,1779033600000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323402,1779100323402,True,5,0.3452,0.5288,05-18,0.5972
508410,SZ399330,深证100,1,31.1647,3.1288,0.9576,0.7136,0.1004,0.0177,1779033600000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320810,1779100320810,False,5,0.2864,0.0424,05-18,0.5923
508457,935600,MSCI印度,1,34.2414,4.6154,0.7696,0.7696,0.1348,0.01,1779033600000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1478102400000,1779100324839,1779100324839,False,5,0.2304,0.2304,05-18,
508393,NDX,纳指100,1,36.508,10.4366,0.87,0.9968,0.2859,0.0042,1778774400000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1453737600000,1778895120349,1778895120349,False,5,0.0032,0.13,05-15,1.8119
508437,SZ399001,深证成指,1,36.5673,3.0125,0.9964,0.6636,0.0824,0.014,1779033600000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323224,1779100323224,False,5,0.3364,0.0036,05-18,0.5803
508408,SH000905,中证500,1,37.2275,2.575,0.864,0.8164,0.0692,0.0128,1779033600000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320642,1779100320642,False,5,0.1836,0.136,05-18,0.7921
508415,SH000827,中证环保,3,37.3854,2.9492,0.8496,0.688,0.0789,0.015,1779033600000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321234,1779100321234,False,5,0.312,0.1504,05-18,0.6152
508446,SZ399971,中证传媒,3,42.4888,2.408,0.6884,0.3508,0.0567,0.0183,1779033600000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323924,1779100323924,False,5,0.6492,0.3116,05-18,1.0164
508412,SZ399006,创业板,1,47.1569,6.1357,0.5884,0.7336,0.1301,0.0092,1779033600000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320964,1779100320964,False,5,0.2664,0.4116,05-18,0.7152
508445,SZ399610,TMT50,3,51.4386,6.5907,0.934,0.9972,0.1281,0.0063,1779033600000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1489334400000,1779100323848,1779100323848,False,5,0.0028,0.066,05-18,0.6934
508443,CSI931087,科技龙头,3,54.5273,7.0799,0.901,0.9298,0.1298,0.0048,1779033600000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1779100323711,1779100323711,False,5,0.0702,0.099,05-18,0.9683
508411,SH000852,中证1000,1,56.0314,2.839,0.8652,0.7284,0.0507,0.0093,1779033600000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320885,1779100320885,False,5,0.2716,0.1348,05-18,0.9212
508453,CSI931079,5G通讯,3,58.6322,8.2805,0.9977,0.9982,0.1412,0.0054,1779033600000,high,2,,0.05,1556553600000,1779100324551,1779100324551,False,5,0.0018,0.0023,05-18,0.626
508451,CSI930652,中证电子,3,63.0301,6.7427,0.97,0.9992,0.107,0.0056,1779033600000,high,2,,0.05,1453824000000,1779100324381,1779100324381,False,5,0.0008,0.03,05-18,0.9192
508424,SH000993,全指信息,3,69.5519,6.6112,0.844,0.9992,0.0951,0.0055,1779033600000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321973,1779100321973,False,5,0.0008,0.156,05-18,0.9598
508418,SZ399967,中证军工,3,77.2208,3.8823,0.7044,0.788,0.0503,0.0043,1779033600000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321464,1779100321464,True,5,0.212,0.2956,05-18,1.0797
508454,SH000688,科创50,1,159.7564,7.4632,0.9196,0.9021,0.0467,0.0028,1779033600000,high,2,,0.05,1577721600000,1779100324609,1779100324609,False,5,0.0979,0.0804,05-18,0.8444
